epoch,train_loss,val_loss
1,0.7915117837261426,0.8063121807219377
2,0.7006053287374456,0.5942176729440689
3,0.6428558033312496,0.819057306246971
4,0.6728789131867178,0.5754492607579302
5,0.6526513504848052,0.616856732030413
6,0.6094225785227113,0.5731858713413353
7,0.6174866834574679,0.524857449442593
8,0.6056091948076007,0.698073719864461
9,0.6266611787231929,0.5938587793663367
10,0.5756353513961044,0.5248746547236371
11,0.5859351886218088,0.6626088681505687
12,0.568510110267284,0.5616506471562741
13,0.5440691510517371,0.8367962859459778
14,0.513369877973682,0.523414951874249
15,0.5356170662333456,0.562526623037324
16,0.5581676648095562,0.7090383180931433
17,0.5232904484528408,0.5891134049465407
18,0.49998021728537057,0.5233762221994684
19,0.5042911963133713,0.5155993468725859
20,0.48499893658999266,0.6271683382454203
21,0.5168492487403018,0.5818655086097433
22,0.5020929224801102,0.5474000453059353
23,0.5164223472628127,0.8273298184373485
24,0.5150123678662039,0.5488068194531682
25,0.5024209080882861,0.679904457793307
26,0.5229204325289443,0.8818034547478405
27,0.5136274344752727,0.5387777977470142
28,0.4543603247279723,0.545797331564462
29,0.5002525659281025,0.5700127375659658
30,0.4706038560951502,0.532268873568791
31,0.49525987169141755,0.5993367776052275
