epoch,train_loss,val_loss
1,0.7941831512493268,0.854854762109358
2,0.6855964965843274,0.5586571039548561
3,0.6408254906032862,0.8818691275013026
4,0.6872450035322535,0.7146002730326866
5,0.6608357988716511,0.5621472443662473
6,0.6068984082097226,0.5753077508798287
7,0.5980762592479467,0.5971680608258318
8,0.5828811394268972,0.7841327648554275
9,0.6253611498525782,0.5181298867535236
10,0.5768041170619272,0.5287694045856818
11,0.54999776167816,0.63826512000454
12,0.5604194031481184,0.569213636775515
13,0.5549469302687944,0.5467181103443032
14,0.5221589280361157,0.7486391365528107
15,0.5370904973575047,0.5770077418480346
16,0.536498944889485,0.5546612548294352
17,0.5139321652308322,0.5290269938422673
18,0.4989740956652413,0.6668151274545869
19,0.5379061390366255,0.5475482682683575
20,0.5127745738094538,0.5799862230891613
21,0.521070646196843,0.5790764818440622
