epoch,train_loss,val_loss
1,0.9612660182230354,0.8489480241021113
2,0.8061221362499709,0.6706131380885395
3,0.7192500229823264,0.599405137905434
4,0.686590236989874,0.5908303202977822
5,0.6677964787517657,0.5851384779410576
6,0.6645597040557555,0.5829146410991897
7,0.6570941476722398,0.579935261562689
8,0.659057071943727,0.573293138128608
9,0.6347263707012464,0.5725031610745103
10,0.6305213539022504,0.5758550000279697
11,0.6051874204776452,0.5751432589630583
12,0.6065855300828312,0.5713343371206255
13,0.5997701384856651,0.563816194214038
14,0.5983062616129365,0.5630375260292594
15,0.5893801430637917,0.5666159435884276
16,0.5833401710608224,0.5733865588458616
17,0.5857468790839611,0.5636900078449676
18,0.585976808641351,0.5720237001999101
19,0.5762177682803109,0.5686020786637691
20,0.5827975234384521,0.5617427665795853
21,0.5627923957991562,0.5691284939869127
22,0.5520298159045928,0.5563215744584354
23,0.5580282671493665,0.5714072647379406
24,0.5669902412887561,0.5603706356304795
25,0.5520434447505883,0.5659630554380701
26,0.5499447464560238,0.5664419689730033
27,0.5521815385232959,0.5647931187900145
28,0.5487034730314252,0.5740760211179505
29,0.551140669404408,0.5721510308447169
30,0.554000623823169,0.5787686267450675
31,0.5451568381361556,0.5727694748497721
32,0.5389069109246206,0.5821435237998394
33,0.5332305910690638,0.5929409196572517
34,0.5374252391473823,0.5855055039943154
