epoch,train_loss,val_loss
1,0.8014387208998299,1.0046252501544668
2,0.7038147485849371,0.559597403700672
3,0.667108073854523,0.7042153846861711
4,0.6963657180914719,0.5880034650439647
5,0.6592608535748997,0.6011627699012188
6,0.6387537636975033,0.6423175873151467
7,0.6445264291036187,0.5009528127179217
8,0.6302110539393478,0.8524173636045029
9,0.6455921057139316,0.5899889260085661
10,0.6017248622869794,0.5998166723927455
11,0.6087927790552999,0.5778877094610414
12,0.5884208871503129,0.5655008959236429
13,0.5969866519946347,0.912698299137514
14,0.5847183092830652,0.514706778437344
15,0.6015240880115075,0.5887130743532039
16,0.5993909213937113,0.4996038933298481
17,0.5527819730879598,0.6178153989030354
18,0.5548138464434763,0.5598541760622565
19,0.5670373595258398,0.5390290319919586
20,0.5586568326906063,1.2881696740193154
21,0.5584710786181889,0.7803874407241593
22,0.5531190446731941,0.5416166675624563
23,0.577499714173245,0.8834498097647482
24,0.5705928934998152,0.6615477658029812
25,0.5440834597303243,0.6468689210379301
26,0.5817777228872045,1.227714070633276
27,0.5635381007558079,0.528393881756868
28,0.5019113825182662,0.7491869454953208
